Main	ID	Sub	Special	Special-Points	Level	Class	Added-in
Snipewriter-5H	2070	Sprinkler	Tacticooler	200	14	Charger	Version 2.0.0 (Chill Season 2022)
Sorella-Brella	6001	Autobomb	Inkjet	190	19	Brella	Version 5.0.0 (Drizzle Season 2023)
Splash-o-matic	20	Burst-Bomb	Crab-Tank	200	16	Shooter	Version 1.0.0 (Drizzle Season 2022)
Splat-Brella	6000	Sprinkler	Triple-Inkstrike	200	5	Brella	Version 1.0.0 (Drizzle Season 2022)
Splat-Charger	2010	Splat-Bomb	Ink-Vac	200	2	Charger	Version 1.0.0 (Drizzle Season 2022)
Splat-Dualies	5010	Suction-Bomb	Crab-Tank	190	3	Dualie	Version 1.0.0 (Drizzle Season 2022)
Splat-Roller	1010	Curling-Bomb	Big-Bubbler	180	2	Roller	Version 1.0.0 (Drizzle Season 2022)
Splatana-Stamper	8000	Burst-Bomb	Zipcaster	210	15	Splatana	Version 1.0.0 (Drizzle Season 2022)
Splatana-Stamper-Nouveau	8001	Toxic-Mist	Crab-Tank	210	20	Splatana	Version 6.0.0 (Chill Season 2023)
Splatana-Wiper	8010	Torpedo	Ultra-Stamp	190	5	Splatana	Version 1.0.0 (Drizzle Season 2022)
Splatana-Wiper-Deco	8011	Squid-Beakon	Tenta-Missiles	190	10	Splatana	Version 4.0.0 (Sizzle Season 2023)
Splatterscope	2020	Splat-Bomb	Ink-Vac	200	10	Charger	Version 1.0.0 (Drizzle Season 2022)
Splattershot	40	Suction-Bomb	Trizooka	200	2	Shooter	Version 1.0.0 (Drizzle Season 2022)
Splattershot-Jr	10	Splat-Bomb	Big-Bubbler	180	1	Shooter	Version 1.0.0 (Drizzle Season 2022)
Splattershot-Nova	100	Point-Sensor	Killer-Wail-5.1	190	8	Shooter	Version 2.0.0 (Chill Season 2022)
Splattershot-Pro	70	Angle-Shooter	Crab-Tank	180	9	Shooter	Version 1.0.0 (Drizzle Season 2022)
Sploosh-o-matic	0	Curling-Bomb	Ultra-Stamp	180	9	Shooter	Version 1.0.0 (Drizzle Season 2022)
Squeezer	400	Splash-Wall	Trizooka	210	19	Shooter	Version 1.0.0 (Drizzle Season 2022)
Tenta-Brella	6010	Squid-Beakon	Ink-Vac	190	16	Brella	Version 1.0.0 (Drizzle Season 2022)
Tenta-Sorella-Brella	6011	Ink-Mine	Trizooka	200	22	Brella	Version 4.0.0 (Sizzle Season 2023)
Tentatek-Splattershot	41	Splat-Bomb	Triple-Inkstrike	190	10	Shooter	Version 2.0.0 (Chill Season 2022)
Tri-Slosher	3010	Toxic-Mist	Inkjet	180	10	Slosher	Version 1.0.0 (Drizzle Season 2022)
Tri-Slosher-Nouveau	3011	Fizzy-Bomb	Tacticooler	210	17	Slosher	Version 3.0.0 (Fresh Season 2023)
Tri-Stringer	7010	Toxic-Mist	Killer-Wail-5.1	180	4	Stringer	Version 1.0.0 (Drizzle Season 2022)
Undercover-Brella	6020	Ink-Mine	Reefslider	180	18	Brella	Version 1.0.0 (Drizzle Season 2022)
Undercover-Sorella-Brella	6021	Torpedo	Splattercolor-Screen	180	23	Brella	Version 6.0.0 (Chill Season 2023)
Z+F-Splat-Charger	2011	Splash-Wall	Triple-Inkstrike	210	9	Charger	Version 3.0.0 (Fresh Season 2023)
Z+F-Splatterscope	2021	Splash-Wall	Triple-Inkstrike	210	15	Charger	Version 3.0.0 (Fresh Season 2023)
Zink-Mini-Splatling	4001	Toxic-Mist	Big-Bubbler	190	25	Splatling	Version 2.0.0 (Chill Season 2022)
